model_name,sota_accuracy,avg_confidence,val_accuracy,generalization_gap,confidences
Baseline_Simple_ViT,0.9629629629629629,0.8218334,0.95,-0.012962962962962954,"[np.float32(0.95012283), np.float32(0.48417044), np.float32(0.57953984), np.float32(0.53170836), np.float32(0.66269845), np.float32(0.3197632), np.float32(0.88903236), np.float32(0.8603248), np.float32(0.90512013), np.float32(0.6853373), np.float32(0.96963745), np.float32(0.66609293), np.float32(0.83523524), np.float32(0.82001716), np.float32(0.9786764), np.float32(0.812476), np.float32(0.58103526), np.float32(0.75935715), np.float32(0.91530037), np.float32(0.89775383), np.float32(0.71431), np.float32(0.99326867), np.float32(0.9869625), np.float32(0.90241665), np.float32(0.9117076), np.float32(0.9936841), np.float32(0.79571295), np.float32(0.9753313), np.float32(0.9087393), np.float32(0.91087496), np.float32(0.9897674), np.float32(0.991793), np.float32(0.9792183), np.float32(0.87964493), np.float32(0.9890365), np.float32(0.9287978), np.float32(0.9741702), np.float32(0.8519239), np.float32(0.87659687), np.float32(0.6691973), np.float32(0.5472465), np.float32(0.99487513), np.float32(0.9606987), np.float32(0.77589643), np.float32(0.7895826), np.float32(0.5459266), np.float32(0.8814763), np.float32(0.85964435), np.float32(0.9156033), np.float32(0.55065846), np.float32(0.85278904), np.float32(0.7624308), np.float32(0.73353684), np.float32(0.79869413), np.float32(0.8062724), np.float32(0.5215707), np.float32(0.46755323), np.float32(0.72960174), np.float32(0.54943466), np.float32(0.8097892), np.float32(0.7063899), np.float32(0.9622523), np.float32(0.97440016), np.float32(0.9724674), np.float32(0.87469196), np.float32(0.9376286), np.float32(0.8042871), np.float32(0.73052204), np.float32(0.96433216), np.float32(0.974609), np.float32(0.9207849), np.float32(0.92205334), np.float32(0.9376059), np.float32(0.9598701), np.float32(0.90111524), np.float32(0.7889325), np.float32(0.87656903), np.float32(0.7604138), np.float32(0.9206416), np.float32(0.63173705), np.float32(0.8673661)]"
Baseline_DinoV2,0.9382716049382716,0.89262193,0.9166666666666666,-0.021604938271604923,"[np.float32(0.9948755), np.float32(0.397183), np.float32(0.46219096), np.float32(0.6068557), np.float32(0.91213834), np.float32(0.7021164), np.float32(0.86785346), np.float32(0.9948086), np.float32(0.9150881), np.float32(0.78901595), np.float32(0.99354583), np.float32(0.9106642), np.float32(0.79548144), np.float32(0.97595984), np.float32(0.995093), np.float32(0.6600948), np.float32(0.9421393), np.float32(0.9710126), np.float32(0.9978264), np.float32(0.9915069), np.float32(0.9830752), np.float32(0.9986815), np.float32(0.9966493), np.float32(0.99478227), np.float32(0.9552106), np.float32(0.983754), np.float32(0.92956877), np.float32(0.8880792), np.float32(0.99176145), np.float32(0.9989802), np.float32(0.9989126), np.float32(0.99811196), np.float32(0.9989843), np.float32(0.9517857), np.float32(0.9962251), np.float32(0.99351585), np.float32(0.9934917), np.float32(0.9819686), np.float32(0.9835386), np.float32(0.44289717), np.float32(0.7512887), np.float32(0.99950886), np.float32(0.99031734), np.float32(0.9836294), np.float32(0.97206926), np.float32(0.32013857), np.float32(0.99757665), np.float32(0.93076426), np.float32(0.96370447), np.float32(0.9572328), np.float32(0.9848054), np.float32(0.8244189), np.float32(0.9029234), np.float32(0.79970205), np.float32(0.8364681), np.float32(0.68915534), np.float32(0.8378256), np.float32(0.79895294), np.float32(0.45064777), np.float32(0.67488736), np.float32(0.7144467), np.float32(0.994091), np.float32(0.99424547), np.float32(0.9987049), np.float32(0.9969313), np.float32(0.9993331), np.float32(0.9682962), np.float32(0.8510382), np.float32(0.9358815), np.float32(0.9994711), np.float32(0.9470718), np.float32(0.9987727), np.float32(0.975008), np.float32(0.9988219), np.float32(0.9900136), np.float32(0.8576609), np.float32(0.9966562), np.float32(0.96780694), np.float32(0.9945623), np.float32(0.6186136), np.float32(0.9035007)]"
incr_Baseline+Forensic,0.9506172839506173,0.892371,0.975,0.02438271604938269,"[np.float32(0.99537414), np.float32(0.41889113), np.float32(0.79567724), np.float32(0.74505246), np.float32(0.8418433), np.float32(0.23713769), np.float32(0.97957724), np.float32(0.9591283), np.float32(0.9924102), np.float32(0.8183741), np.float32(0.99743843), np.float32(0.760735), np.float32(0.97072864), np.float32(0.96986747), np.float32(0.998247), np.float32(0.9382837), np.float32(0.6355243), np.float32(0.86637765), np.float32(0.976358), np.float32(0.9808281), np.float32(0.61604065), np.float32(0.99960655), np.float32(0.99914753), np.float32(0.9806511), np.float32(0.9839415), np.float32(0.99970967), np.float32(0.9373629), np.float32(0.9979711), np.float32(0.9792966), np.float32(0.9834989), np.float32(0.99964774), np.float32(0.9997439), np.float32(0.99806505), np.float32(0.9785824), np.float32(0.99940205), np.float32(0.9932842), np.float32(0.9973556), np.float32(0.9723527), np.float32(0.9821661), np.float32(0.83031243), np.float32(0.6270649), np.float32(0.9998474), np.float32(0.99444866), np.float32(0.8906618), np.float32(0.7802351), np.float32(0.4983846), np.float32(0.9614514), np.float32(0.9845606), np.float32(0.9872076), np.float32(0.5834172), np.float32(0.9653229), np.float32(0.75874895), np.float32(0.81272256), np.float32(0.90893525), np.float32(0.7661856), np.float32(0.6818864), np.float32(0.41884857), np.float32(0.8137488), np.float32(0.66078454), np.float32(0.94282013), np.float32(0.8595358), np.float32(0.9976419), np.float32(0.9970732), np.float32(0.9975922), np.float32(0.94885886), np.float32(0.990315), np.float32(0.92139745), np.float32(0.8566399), np.float32(0.99651414), np.float32(0.99815756), np.float32(0.9839319), np.float32(0.9847436), np.float32(0.9872914), np.float32(0.9937779), np.float32(0.98197156), np.float32(0.9592656), np.float32(0.95797753), np.float32(0.93651766), np.float32(0.9893958), np.float32(0.82931507), np.float32(0.97086203)]"
incr_Baseline+Wavelet,0.8641975308641975,0.8312471,0.9,0.03580246913580254,"[np.float32(0.9895874), np.float32(0.23841934), np.float32(0.930408), np.float32(0.15538894), np.float32(0.51270056), np.float32(0.40437004), np.float32(0.9836241), np.float32(0.9807725), np.float32(0.9982672), np.float32(0.48210174), np.float32(0.99957854), np.float32(0.25868922), np.float32(0.99168503), np.float32(0.9834103), np.float32(0.9995402), np.float32(0.8509064), np.float32(0.24679202), np.float32(0.7011593), np.float32(0.99450845), np.float32(0.9813612), np.float32(0.5720867), np.float32(0.9998641), np.float32(0.99973196), np.float32(0.9861291), np.float32(0.96833503), np.float32(0.99998736), np.float32(0.9317466), np.float32(0.99929726), np.float32(0.9856512), np.float32(0.9786354), np.float32(0.9998791), np.float32(0.99992716), np.float32(0.99956375), np.float32(0.79118615), np.float32(0.99977905), np.float32(0.982659), np.float32(0.9909396), np.float32(0.78905004), np.float32(0.9608752), np.float32(0.9240212), np.float32(0.7739858), np.float32(0.9999831), np.float32(0.99805105), np.float32(0.97628105), np.float32(0.54738504), np.float32(0.9368819), np.float32(0.9806457), np.float32(0.9944258), np.float32(0.98906124), np.float32(0.235382), np.float32(0.8206504), np.float32(0.258614), np.float32(0.702976), np.float32(0.8390338), np.float32(0.84198946), np.float32(0.59534645), np.float32(0.83787084), np.float32(0.83665043), np.float32(0.14995599), np.float32(0.41161773), np.float32(0.19405645), np.float32(0.9993863), np.float32(0.99571687), np.float32(0.9998709), np.float32(0.9808739), np.float32(0.93968254), np.float32(0.9994006), np.float32(0.6629571), np.float32(0.99963784), np.float32(0.99943155), np.float32(0.97348005), np.float32(0.97371894), np.float32(0.9736614), np.float32(0.99525344), np.float32(0.9980399), np.float32(0.86434424), np.float32(0.9923805), np.float32(0.97865057), np.float32(0.98588353), np.float32(0.6057166), np.float32(0.94946223)]"
incr_Baseline+PyramidNoise,0.9259259259259259,0.89516777,0.9583333333333334,0.03240740740740744,"[np.float32(0.99990106), np.float32(0.25229433), np.float32(0.78267825), np.float32(0.68885714), np.float32(0.8855777), np.float32(0.46414924), np.float32(0.9958475), np.float32(0.976856), np.float32(0.9977883), np.float32(0.60141987), np.float32(0.99973637), np.float32(0.88265467), np.float32(0.99788), np.float32(0.9973423), np.float32(0.999899), np.float32(0.92750424), np.float32(0.7361508), np.float32(0.8430192), np.float32(0.994028), np.float32(0.9954802), np.float32(0.37574875), np.float32(0.99999), np.float32(0.9999871), np.float32(0.99886346), np.float32(0.99641836), np.float32(0.9999956), np.float32(0.94157696), np.float32(0.99984634), np.float32(0.9885711), np.float32(0.9878543), np.float32(0.9999914), np.float32(0.99998903), np.float32(0.99994004), np.float32(0.9894449), np.float32(0.99997354), np.float32(0.99629754), np.float32(0.9997634), np.float32(0.9770668), np.float32(0.98671746), np.float32(0.82163674), np.float32(0.27019885), np.float32(0.99999607), np.float32(0.9998857), np.float32(0.9380125), np.float32(0.9192984), np.float32(0.2563326), np.float32(0.99633527), np.float32(0.9828122), np.float32(0.99826354), np.float32(0.5612874), np.float32(0.99241817), np.float32(0.9535525), np.float32(0.8906434), np.float32(0.96697414), np.float32(0.8503085), np.float32(0.49358875), np.float32(0.64514655), np.float32(0.82747394), np.float32(0.55607766), np.float32(0.9565199), np.float32(0.74427724), np.float32(0.99977547), np.float32(0.9999083), np.float32(0.9998404), np.float32(0.9883691), np.float32(0.9972588), np.float32(0.88742626), np.float32(0.983227), np.float32(0.9990452), np.float32(0.999824), np.float32(0.9977284), np.float32(0.99751925), np.float32(0.9961414), np.float32(0.99946326), np.float32(0.9939824), np.float32(0.9536158), np.float32(0.9940491), np.float32(0.89832264), np.float32(0.9972844), np.float32(0.95470273), np.float32(0.99296474)]"
incr_Baseline+MultiScale,0.9753086419753086,0.9268328,0.975,-0.00030864197530866555,"[np.float32(0.99968505), np.float32(0.5756574), np.float32(0.7930964), np.float32(0.7274892), np.float32(0.9188953), np.float32(0.6291027), np.float32(0.99510515), np.float32(0.9910731), np.float32(0.99878436), np.float32(0.8049839), np.float32(0.99969447), np.float32(0.94422543), np.float32(0.9969984), np.float32(0.99522424), np.float32(0.9999187), np.float32(0.9836705), np.float32(0.8671144), np.float32(0.8988303), np.float32(0.99828374), np.float32(0.99598265), np.float32(0.6583719), np.float32(0.9999969), np.float32(0.9999652), np.float32(0.998161), np.float32(0.9978714), np.float32(0.9999877), np.float32(0.9755351), np.float32(0.9998735), np.float32(0.99584204), np.float32(0.9919477), np.float32(0.99998355), np.float32(0.9999888), np.float32(0.9999486), np.float32(0.9932573), np.float32(0.9999589), np.float32(0.9980404), np.float32(0.99967897), np.float32(0.9879046), np.float32(0.9877136), np.float32(0.8812856), np.float32(0.27769345), np.float32(0.9999982), np.float32(0.9996464), np.float32(0.94066775), np.float32(0.95874923), np.float32(0.67894036), np.float32(0.9952637), np.float32(0.9931478), np.float32(0.9992962), np.float32(0.74482065), np.float32(0.99117905), np.float32(0.9128762), np.float32(0.9278273), np.float32(0.96922374), np.float32(0.91167074), np.float32(0.6449738), np.float32(0.34428045), np.float32(0.89729923), np.float32(0.6290967), np.float32(0.9634996), np.float32(0.87415224), np.float32(0.9996792), np.float32(0.9998605), np.float32(0.99984205), np.float32(0.99434716), np.float32(0.9972293), np.float32(0.98180425), np.float32(0.9855517), np.float32(0.99969864), np.float32(0.9998629), np.float32(0.9979424), np.float32(0.9979023), np.float32(0.9983261), np.float32(0.9994979), np.float32(0.99819344), np.float32(0.9942707), np.float32(0.99581426), np.float32(0.995915), np.float32(0.99936074), np.float32(0.90873754), np.float32(0.99618953)]"
incr_Baseline+SpatialAttn,0.9382716049382716,0.7660142,0.9583333333333334,0.020061728395061817,"[np.float32(0.9145087), np.float32(0.57776904), np.float32(0.53940713), np.float32(0.5465706), np.float32(0.6704867), np.float32(0.40201703), np.float32(0.8197315), np.float32(0.7546548), np.float32(0.77301776), np.float32(0.6689771), np.float32(0.930749), np.float32(0.6027527), np.float32(0.73629856), np.float32(0.7894303), np.float32(0.93419796), np.float32(0.75654835), np.float32(0.6071962), np.float32(0.5764674), np.float32(0.8537216), np.float32(0.82695407), np.float32(0.57738566), np.float32(0.97827756), np.float32(0.9659814), np.float32(0.88517064), np.float32(0.8628952), np.float32(0.9738733), np.float32(0.70963764), np.float32(0.93840986), np.float32(0.7819881), np.float32(0.8472755), np.float32(0.9657964), np.float32(0.9689794), np.float32(0.9427896), np.float32(0.8064241), np.float32(0.96514314), np.float32(0.85331094), np.float32(0.9071814), np.float32(0.77383757), np.float32(0.8045215), np.float32(0.63783216), np.float32(0.43991056), np.float32(0.9737414), np.float32(0.9169822), np.float32(0.6559387), np.float32(0.6889714), np.float32(0.41542006), np.float32(0.8004636), np.float32(0.82540464), np.float32(0.8640081), np.float32(0.6196361), np.float32(0.81572425), np.float32(0.7450632), np.float32(0.7264427), np.float32(0.74078), np.float32(0.76449203), np.float32(0.42160276), np.float32(0.58065903), np.float32(0.51268977), np.float32(0.43509346), np.float32(0.6605375), np.float32(0.51384103), np.float32(0.92917985), np.float32(0.9370558), np.float32(0.9247077), np.float32(0.74689144), np.float32(0.86069924), np.float32(0.7327155), np.float32(0.6994278), np.float32(0.9395656), np.float32(0.9219136), np.float32(0.8346636), np.float32(0.83411354), np.float32(0.870377), np.float32(0.8876209), np.float32(0.81958187), np.float32(0.7374139), np.float32(0.80774105), np.float32(0.6883752), np.float32(0.8673317), np.float32(0.62649155), np.float32(0.83571094)]"
incr_Baseline+TemporalLoss,0.9382716049382716,0.9074858,0.9666666666666667,0.02839506172839512,"[np.float32(0.99954754), np.float32(0.34389934), np.float32(0.72612244), np.float32(0.5257878), np.float32(0.8219388), np.float32(0.5228604), np.float32(0.9897377), np.float32(0.9862874), np.float32(0.99502003), np.float32(0.8164813), np.float32(0.999569), np.float32(0.9118536), np.float32(0.99661165), np.float32(0.9908794), np.float32(0.9998715), np.float32(0.9434655), np.float32(0.873141), np.float32(0.8877416), np.float32(0.99725336), np.float32(0.993383), np.float32(0.8151061), np.float32(0.9999919), np.float32(0.99994624), np.float32(0.99641895), np.float32(0.9969516), np.float32(0.9999864), np.float32(0.96084243), np.float32(0.9998073), np.float32(0.9804796), np.float32(0.99386865), np.float32(0.9999571), np.float32(0.9999604), np.float32(0.9999186), np.float32(0.9840301), np.float32(0.9999249), np.float32(0.99573743), np.float32(0.9991146), np.float32(0.9707671), np.float32(0.97042376), np.float32(0.9302132), np.float32(0.29502228), np.float32(0.9999957), np.float32(0.99960536), np.float32(0.9774384), np.float32(0.9282576), np.float32(0.3216824), np.float32(0.9973104), np.float32(0.9760389), np.float32(0.9987452), np.float32(0.61325866), np.float32(0.990669), np.float32(0.9437507), np.float32(0.9353252), np.float32(0.96831065), np.float32(0.9255669), np.float32(0.40620503), np.float32(0.4436754), np.float32(0.6356382), np.float32(0.684839), np.float32(0.9547114), np.float32(0.8658797), np.float32(0.9995142), np.float32(0.9997341), np.float32(0.9995845), np.float32(0.96743226), np.float32(0.9959319), np.float32(0.9213761), np.float32(0.95910394), np.float32(0.9994505), np.float32(0.99968445), np.float32(0.99778), np.float32(0.9950518), np.float32(0.99749786), np.float32(0.9985147), np.float32(0.99611205), np.float32(0.97189766), np.float32(0.9959943), np.float32(0.97721195), np.float32(0.9985044), np.float32(0.9650827), np.float32(0.9940637)]"
